2023-07-02 02:23:14.9799 | TRACE | Начинаем поиск файла AssemblyInfo.cs из директории X:\projects\_WIP\nLogViewer\nLogViewer | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Проверка файла App.xaml | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Проверка файла App.xaml.cs | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Проверка файла Program.cs | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Проверка файла nLogViewer.csproj | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Проверка файла AssemblyInfo.cs | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Файл AssemblyInfo.cs найден! | VersionChanger.AssemblyInfoSearcher | 16260 | 1
2023-07-02 02:23:15.0172 | TRACE | Чтение файла: X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | Program | 16260 | 1
2023-07-02 02:23:15.0265 | TRACE | Поиск текущей версии проекта | Program | 16260 | 1
2023-07-02 02:23:15.0265 | TRACE | Текущая версия проекта: 1.0.0701.2339 | Program | 16260 | 1
2023-07-02 02:23:15.0265 | TRACE | Текущая конфигурация интерпритатора: Debug | Program | 16260 | 1
2023-07-02 02:23:15.0265 | TRACE | Новая версия проекта: 1.0.702.223 | Program | 16260 | 1
2023-07-02 02:23:15.0265 | TRACE | Запись файла: X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | Program | 16260 | 1
2023-07-02 02:26:15.3710 | TRACE | Начинаем поиск файла AssemblyInfo.cs из директории X:\projects\_WIP\nLogViewer\nLogViewer | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Проверка файла App.xaml | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Проверка файла App.xaml.cs | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Проверка файла Program.cs | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Проверка файла nLogViewer.csproj | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Проверка файла AssemblyInfo.cs | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Файл AssemblyInfo.cs найден! | VersionChanger.AssemblyInfoSearcher | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Чтение файла: X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | Program | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Поиск текущей версии проекта | Program | 3872 | 1
2023-07-02 02:26:15.4063 | TRACE | Текущая версия проекта: 1.0.0702.0223 | Program | 3872 | 1
