2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\nLogViewer.sln | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\.gitignore | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\VersionChanger.exe | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\projects\_WIP\nLogViewer\NLog.config | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | В директории X:\projects\_WIP\nLogViewer файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Переходим в вышестоящую директорию X:\projects\_WIP | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | В директории X:\projects\_WIP файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Переходим в вышестоящую директорию X:\projects | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | В директории X:\projects файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Переходим в вышестоящую директорию X:\ | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\Alpha_3.ova | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\hmiconvopc2ap.exe | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\Deployment.bat | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\CopyGenAlpha.bat | VersionChanger.AssemblyInfoSearcher | 9636 | 1
